region_user,supertype,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,0229 Sst Gaba_16,Adcyap1r1,367,7.626619815826416,97.54768392370572,5.0,5.0,10.0,4.0,0.13515996932983398,1.0,supertype,Allen_WMB_10X_computed
AId,0221 Sst Gaba_8,Adcyap1r1,545,7.491459846496582,94.86238532110092,5.0,4.0,9.0,3.0,-0.13515996932983398,2.0,supertype,Allen_WMB_10X_computed
AId,0210 Pvalb Gaba_6,Adcyap1r1,105,7.269977569580078,93.33333333333333,4.0,3.0,7.0,4.0,-0.3566422462463379,3.0,supertype,Allen_WMB_10X_computed
AId,0230 Sst Gaba_17,Adcyap1r1,42,7.091638565063477,95.23809523809523,4.0,3.0,7.0,3.0,-0.5349812507629395,3.0,supertype,Allen_WMB_10X_computed
AId,0206 Pvalb Gaba_2,Adcyap1r1,47,7.041635036468506,95.74468085106383,4.0,3.0,7.0,4.0,-0.5849847793579102,5.0,supertype,Allen_WMB_10X_computed
AId,0231 Sst Gaba_18,Adcyap1r1,45,6.862760543823242,95.55555555555556,5.0,3.0,8.0,4.0,-0.7638592720031738,3.0,supertype,Allen_WMB_10X_computed
AId,0220 Sst Gaba_7,Adcyap1r1,166,6.798859119415283,92.7710843373494,5.0,4.0,9.0,5.0,-0.8277606964111328,4.0,supertype,Allen_WMB_10X_computed
AId,1161 Astro-TE NN_1,Adcyap1r1,178,6.765358924865723,84.26966292134831,2.0,2.0,4.0,2.0,-0.8612608909606934,2.0,supertype,Allen_WMB_10X_computed
AId,0218 Sst Gaba_5,Adcyap1r1,559,6.655431747436523,86.58318425760287,4.0,4.0,8.0,3.0,-0.9711880683898926,2.0,supertype,Allen_WMB_10X_computed
AId,0223 Sst Gaba_10,Adcyap1r1,653,6.653040885925293,88.8208269525268,5.0,5.0,10.0,5.0,-0.973578929901123,4.0,supertype,Allen_WMB_10X_computed
AId,0222 Sst Gaba_9,Adcyap1r1,274,6.553048133850098,90.51094890510949,6.0,4.0,10.0,5.0,-1.0735716819763184,5.0,supertype,Allen_WMB_10X_computed
AId,0190 Sncg Gaba_6,Adcyap1r1,167,6.543076038360596,92.81437125748504,6.0,5.0,11.0,5.0,-1.0835437774658203,5.0,supertype,Allen_WMB_10X_computed
AId,0185 Sncg Gaba_1,Adcyap1r1,171,6.4313764572143555,91.22807017543859,5.0,5.0,10.0,4.0,-1.1952433586120605,5.0,supertype,Allen_WMB_10X_computed
AId,0188 Sncg Gaba_4,Adcyap1r1,157,6.394670009613037,92.99363057324841,4.0,4.0,8.0,4.0,-1.231949806213379,5.0,supertype,Allen_WMB_10X_computed
AId,0224 Sst Gaba_11,Adcyap1r1,449,6.386256217956543,86.41425389755011,6.0,6.0,12.0,5.0,-1.240363597869873,5.0,supertype,Allen_WMB_10X_computed
AId,0226 Sst Gaba_13,Adcyap1r1,501,6.291998863220215,86.82634730538922,6.0,6.0,12.0,5.0,-1.3346209526062012,8.0,supertype,Allen_WMB_10X_computed
AId,0212 Pvalb Gaba_8,Adcyap1r1,424,6.237351894378662,86.55660377358491,4.0,3.0,7.0,4.0,-1.389267921447754,6.0,supertype,Allen_WMB_10X_computed
AId,1179 OPC NN_1,Adcyap1r1,4336,6.205604553222656,80.02767527675276,2.0,2.0,4.0,2.0,-1.4210152626037598,3.0,supertype,Allen_WMB_10X_computed
AId,0215 Sst Gaba_2,Adcyap1r1,59,6.119263648986816,89.83050847457628,6.0,4.0,10.0,6.0,-1.5073561668395996,6.0,supertype,Allen_WMB_10X_computed
AId,0208 Pvalb Gaba_4,Adcyap1r1,655,5.934272289276123,85.19083969465649,5.0,5.0,10.0,5.0,-1.692347526550293,7.0,supertype,Allen_WMB_10X_computed
AId,0003 IT EP-CLA Glut_1,Adcyap1r1,4017,5.773087501525879,85.18795120736868,7.0,7.0,14.0,6.0,-1.853532314300537,9.0,supertype,Allen_WMB_10X_computed
AId,0217 Sst Gaba_4,Adcyap1r1,1461,5.759025573730469,78.91854893908283,6.0,6.0,12.0,5.0,-1.8675942420959473,7.0,supertype,Allen_WMB_10X_computed
AId,0209 Pvalb Gaba_5,Adcyap1r1,153,5.730198860168457,79.73856209150327,5.0,4.0,9.0,5.0,-1.896420955657959,7.0,supertype,Allen_WMB_10X_computed
AId,0187 Sncg Gaba_3,Adcyap1r1,635,5.627398490905762,79.05511811023622,9.0,7.0,16.0,7.0,-1.9992213249206543,8.0,supertype,Allen_WMB_10X_computed
AId,0013 L6 IT CTX Glut_1,Adcyap1r1,832,5.6036810874938965,81.73076923076923,7.0,6.0,13.0,6.0,-2.0229387283325195,8.0,supertype,Allen_WMB_10X_computed
AId,0204 Pvalb chandelier Gaba_1,Adcyap1r1,285,5.5652384757995605,79.2982456140351,6.0,5.0,11.0,5.0,-2.0613813400268555,9.0,supertype,Allen_WMB_10X_computed
AId,0181 Vip Gaba_9,Adcyap1r1,48,5.487926959991455,72.91666666666666,6.0,4.0,10.0,5.0,-2.138692855834961,6.0,supertype,Allen_WMB_10X_computed
AId,0189 Sncg Gaba_5,Adcyap1r1,42,5.343390464782715,76.19047619047619,7.0,5.0,12.0,6.0,-2.283229351043701,8.0,supertype,Allen_WMB_10X_computed
AId,0009 L5/6 IT TPE-ENT Glut_3,Adcyap1r1,583,5.303258419036865,80.78902229845626,7.0,5.0,12.0,6.0,-2.323361396789551,9.0,supertype,Allen_WMB_10X_computed
AId,0173 Vip Gaba_1,Adcyap1r1,522,5.2564496994018555,70.6896551724138,7.0,7.0,14.0,7.0,-2.3701701164245605,7.0,supertype,Allen_WMB_10X_computed
AId,0192 Sncg Gaba_8,Adcyap1r1,151,5.239548683166504,77.48344370860927,6.0,5.0,11.0,4.0,-2.387071132659912,10.0,supertype,Allen_WMB_10X_computed
AId,1163 Astro-TE NN_3,Adcyap1r1,8356,5.16342306137085,67.42460507419818,3.0,3.0,6.0,3.0,-2.4631967544555664,4.0,supertype,Allen_WMB_10X_computed
AId,0207 Pvalb Gaba_3,Adcyap1r1,2032,5.047160625457764,71.8996062992126,4.0,4.0,8.0,4.0,-2.5794591903686523,7.0,supertype,Allen_WMB_10X_computed
AId,0211 Pvalb Gaba_7,Adcyap1r1,38,5.044345855712891,73.68421052631578,7.0,4.0,11.0,7.0,-2.5822739601135254,8.0,supertype,Allen_WMB_10X_computed
AId,0214 Sst Gaba_1,Adcyap1r1,578,5.026319980621338,74.5674740484429,7.0,7.0,14.0,6.0,-2.600299835205078,9.0,supertype,Allen_WMB_10X_computed
AId,0184 Vip Gaba_12,Adcyap1r1,174,4.994380474090576,68.39080459770115,7.0,6.0,13.0,5.0,-2.63223934173584,8.0,supertype,Allen_WMB_10X_computed
AId,0241 Sst Chodl Gaba_4,Adcyap1r1,300,4.978182315826416,74.0,4.0,4.0,8.0,3.0,-2.6484375,8.0,supertype,Allen_WMB_10X_computed
AId,0105 L6b EPd Glut_3,Adcyap1r1,48,4.941634654998779,85.41666666666666,8.0,3.0,11.0,7.0,-2.6849851608276367,9.0,supertype,Allen_WMB_10X_computed
AId,0178 Vip Gaba_6,Adcyap1r1,528,4.909777641296387,65.9090909090909,6.0,5.0,11.0,6.0,-2.7168421745300293,5.0,supertype,Allen_WMB_10X_computed
AId,0200 Lamp5 Gaba_2,Adcyap1r1,297,4.898367881774902,69.6969696969697,5.0,4.0,9.0,5.0,-2.7282519340515137,6.0,supertype,Allen_WMB_10X_computed
AId,0186 Sncg Gaba_2,Adcyap1r1,228,4.851247310638428,70.17543859649122,6.0,6.0,12.0,5.0,-2.7753725051879883,8.0,supertype,Allen_WMB_10X_computed
AId,0022 L5 IT CTX Glut_5,Adcyap1r1,302,4.846937656402588,79.47019867549669,6.0,4.0,10.0,5.0,-2.779682159423828,8.0,supertype,Allen_WMB_10X_computed
AId,0201 Lamp5 Gaba_3,Adcyap1r1,258,4.8420610427856445,67.82945736434108,5.0,4.0,9.0,5.0,-2.7845587730407715,7.0,supertype,Allen_WMB_10X_computed
AId,0039 L2/3 IT PIR-ENTl Glut_1,Adcyap1r1,135,4.713400840759277,77.03703703703704,8.0,7.0,15.0,8.0,-2.9132189750671387,10.0,supertype,Allen_WMB_10X_computed
AId,0175 Vip Gaba_3,Adcyap1r1,562,4.70623254776001,64.41281138790036,8.0,8.0,16.0,7.0,-2.9203872680664062,7.0,supertype,Allen_WMB_10X_computed
AId,0014 L6 IT CTX Glut_2,Adcyap1r1,925,4.620915412902832,72.86486486486487,10.0,8.0,18.0,6.0,-3.005704402923584,11.0,supertype,Allen_WMB_10X_computed
AId,0191 Sncg Gaba_7,Adcyap1r1,111,4.568853378295898,69.36936936936937,7.0,7.0,14.0,6.0,-3.0577664375305176,8.0,supertype,Allen_WMB_10X_computed
AId,0205 Pvalb Gaba_1,Adcyap1r1,161,4.526906490325928,66.45962732919256,7.0,6.0,13.0,7.0,-3.0997133255004883,10.0,supertype,Allen_WMB_10X_computed
AId,0183 Vip Gaba_11,Adcyap1r1,97,4.449681758880615,62.88659793814433,8.0,7.0,15.0,7.0,-3.176938056945801,8.0,supertype,Allen_WMB_10X_computed
AId,1181 COP NN_1,Adcyap1r1,556,4.4467926025390625,60.07194244604317,1.0,1.0,2.0,1.0,-3.1798272132873535,3.0,supertype,Allen_WMB_10X_computed
AId,0202 Lamp5 Gaba_4,Adcyap1r1,361,4.446661949157715,67.59002770083103,5.0,5.0,10.0,5.0,-3.179957866668701,6.0,supertype,Allen_WMB_10X_computed
AId,0199 Lamp5 Gaba_1,Adcyap1r1,2788,4.425206184387207,66.10473457675752,7.0,6.0,13.0,7.0,-3.201413631439209,8.0,supertype,Allen_WMB_10X_computed
AId,0017 L6 IT CTX Glut_5,Adcyap1r1,499,4.373172283172607,72.54509018036072,8.0,6.0,14.0,8.0,-3.2534475326538086,10.0,supertype,Allen_WMB_10X_computed
AId,0203 Lamp5 Lhx6 Gaba_1,Adcyap1r1,370,4.334961891174316,66.21621621621621,5.0,4.0,9.0,3.0,-3.2916579246520996,7.0,supertype,Allen_WMB_10X_computed
AId,0174 Vip Gaba_2,Adcyap1r1,378,4.2412543296813965,59.78835978835979,7.0,6.0,13.0,6.0,-3.3853654861450195,7.0,supertype,Allen_WMB_10X_computed
AId,0180 Vip Gaba_8,Adcyap1r1,76,4.187545299530029,59.210526315789465,8.0,8.0,16.0,7.0,-3.4390745162963867,11.0,supertype,Allen_WMB_10X_computed
AId,0111 L6b CTX Glut_2,Adcyap1r1,73,4.180431842803955,73.97260273972603,12.0,8.0,20.0,10.0,-3.446187973022461,14.0,supertype,Allen_WMB_10X_computed
AId,0008 L5/6 IT TPE-ENT Glut_2,Adcyap1r1,433,4.037287712097168,72.2863741339492,8.0,6.0,14.0,7.0,-3.589332103729248,13.0,supertype,Allen_WMB_10X_computed
AId,0162 OB Dopa-Gaba_1,Adcyap1r1,35,3.9822261333465576,51.42857142857142,7.0,7.0,14.0,6.0,-3.6443936824798584,8.0,supertype,Allen_WMB_10X_computed
AId,0239 Sst Chodl Gaba_2,Adcyap1r1,34,3.8506832122802734,55.88235294117647,9.0,5.0,14.0,7.0,-3.7759366035461426,11.0,supertype,Allen_WMB_10X_computed
AId,0031 L2/3 IT CTX Glut_3,Adcyap1r1,1908,3.7607412338256836,64.72746331236897,8.0,7.0,15.0,6.0,-3.8658785820007324,12.0,supertype,Allen_WMB_10X_computed
AId,0015 L6 IT CTX Glut_3,Adcyap1r1,870,3.721526861190796,63.2183908045977,7.0,7.0,14.0,6.0,-3.90509295463562,11.0,supertype,Allen_WMB_10X_computed
AId,0104 L6b EPd Glut_2,Adcyap1r1,40,3.7134971618652344,60.0,8.0,7.0,15.0,7.0,-3.9131226539611816,12.0,supertype,Allen_WMB_10X_computed
AId,0225 Sst Gaba_12,Adcyap1r1,84,3.7040798664093018,57.14285714285714,7.0,7.0,14.0,6.0,-3.9225399494171143,10.0,supertype,Allen_WMB_10X_computed
AId,0176 Vip Gaba_4,Adcyap1r1,334,3.6522655487060547,52.99401197604791,9.0,8.0,17.0,8.0,-3.9743542671203613,12.0,supertype,Allen_WMB_10X_computed
AId,0040 L2/3 IT PIR-ENTl Glut_2,Adcyap1r1,273,3.5507991313934326,50.91575091575091,6.0,6.0,12.0,6.0,-4.075820684432983,11.0,supertype,Allen_WMB_10X_computed
AId,0177 Vip Gaba_5,Adcyap1r1,986,3.430913209915161,49.39148073022312,9.0,9.0,18.0,8.0,-4.195706605911255,12.0,supertype,Allen_WMB_10X_computed
AId,0119 L6 CT CTX Glut_6,Adcyap1r1,44,3.39543080329895,52.27272727272727,8.0,6.0,14.0,8.0,-4.231189012527466,14.0,supertype,Allen_WMB_10X_computed
AId,1180 OPC NN_2,Adcyap1r1,31,3.355722427368164,41.935483870967744,4.0,4.0,8.0,4.0,-4.270897388458252,5.0,supertype,Allen_WMB_10X_computed
AId,0113 L6b CTX Glut_4,Adcyap1r1,74,3.305744171142578,54.054054054054056,10.0,8.0,18.0,10.0,-4.320875644683838,13.0,supertype,Allen_WMB_10X_computed
AId,0001 CLA-EPd-CTX Car3 Glut_1,Adcyap1r1,5639,3.243328332901001,52.04823550274872,12.0,12.0,24.0,10.0,-4.383291482925415,18.0,supertype,Allen_WMB_10X_computed
AId,0041 L2/3 IT PIR-ENTl Glut_3,Adcyap1r1,207,3.1579179763793945,49.75845410628019,8.0,7.0,15.0,8.0,-4.4687018394470215,12.0,supertype,Allen_WMB_10X_computed
AId,0112 L6b CTX Glut_3,Adcyap1r1,114,3.131465435028076,54.385964912280706,8.0,8.0,16.0,7.0,-4.49515438079834,12.0,supertype,Allen_WMB_10X_computed
AId,0018 L5 IT CTX Glut_1,Adcyap1r1,467,3.114820957183838,55.6745182012848,10.0,8.0,18.0,9.0,-4.511798858642578,13.0,supertype,Allen_WMB_10X_computed
AId,0016 L6 IT CTX Glut_4,Adcyap1r1,246,3.0493581295013428,51.6260162601626,12.0,11.0,23.0,11.0,-4.577261686325073,17.0,supertype,Allen_WMB_10X_computed
AId,0124 L5 NP CTX Glut_3,Adcyap1r1,806,2.9794886112213135,46.02977667493796,7.0,7.0,14.0,7.0,-4.6471312046051025,13.0,supertype,Allen_WMB_10X_computed
AId,0032 L2/3 IT CTX Glut_4,Adcyap1r1,2721,2.8436996936798096,50.790150679897096,10.0,9.0,19.0,9.0,-4.7829201221466064,14.0,supertype,Allen_WMB_10X_computed
AId,0030 L2/3 IT CTX Glut_2,Adcyap1r1,2521,2.6698503494262695,47.95715985719952,9.0,9.0,18.0,9.0,-4.9567694664001465,14.0,supertype,Allen_WMB_10X_computed
AId,0029 L2/3 IT CTX Glut_1,Adcyap1r1,547,2.5452444553375244,42.230347349177336,9.0,8.0,17.0,9.0,-5.081375360488892,14.0,supertype,Allen_WMB_10X_computed
AId,0042 L2/3 IT PIR-ENTl Glut_4,Adcyap1r1,183,2.462383270263672,38.79781420765027,7.0,7.0,14.0,6.0,-5.164236545562744,12.0,supertype,Allen_WMB_10X_computed
AId,0123 L5 NP CTX Glut_2,Adcyap1r1,2457,2.288543701171875,35.44973544973545,7.0,7.0,14.0,6.0,-5.338076114654541,14.0,supertype,Allen_WMB_10X_computed
AId,0007 L5/6 IT TPE-ENT Glut_1,Adcyap1r1,262,2.285609483718872,43.12977099236641,11.0,10.0,21.0,10.0,-5.341010332107544,18.0,supertype,Allen_WMB_10X_computed
AId,0025 L4/5 IT CTX Glut_3,Adcyap1r1,1804,2.24753999710083,41.07538802660754,12.0,12.0,24.0,10.0,-5.379079818725586,17.0,supertype,Allen_WMB_10X_computed
AId,0227 Sst Gaba_14,Adcyap1r1,182,2.199207305908203,35.16483516483517,10.0,10.0,20.0,10.0,-5.427412509918213,17.0,supertype,Allen_WMB_10X_computed
AId,0026 L4/5 IT CTX Glut_4,Adcyap1r1,3877,2.154104232788086,38.58653598142894,11.0,10.0,21.0,9.0,-5.47251558303833,16.0,supertype,Allen_WMB_10X_computed
AId,0110 L6b CTX Glut_1,Adcyap1r1,178,2.1007213592529297,36.51685393258427,10.0,9.0,19.0,10.0,-5.525898456573486,16.0,supertype,Allen_WMB_10X_computed
AId,0020 L5 IT CTX Glut_3,Adcyap1r1,72,1.9036413431167603,33.33333333333333,12.0,9.0,21.0,10.0,-5.722978472709656,16.0,supertype,Allen_WMB_10X_computed
AId,0027 L4/5 IT CTX Glut_5,Adcyap1r1,3721,1.8574658632278442,32.51814028486966,12.0,12.0,24.0,11.0,-5.769153952598572,16.0,supertype,Allen_WMB_10X_computed
AId,0023 L4/5 IT CTX Glut_1,Adcyap1r1,2389,1.8527498245239258,36.12390121389703,12.0,12.0,24.0,10.0,-5.77386999130249,17.0,supertype,Allen_WMB_10X_computed
AId,0002 CLA-EPd-CTX Car3 Glut_2,Adcyap1r1,140,1.8099831342697144,30.0,15.0,14.0,29.0,13.0,-5.816636681556702,20.0,supertype,Allen_WMB_10X_computed
AId,0024 L4/5 IT CTX Glut_2,Adcyap1r1,382,1.6554536819458008,27.748691099476442,11.0,11.0,22.0,11.0,-5.971166133880615,16.0,supertype,Allen_WMB_10X_computed
AId,1191 Peri NN_1,Adcyap1r1,673,1.590583086013794,19.316493313521548,5.0,5.0,10.0,5.0,-6.036036729812622,9.0,supertype,Allen_WMB_10X_computed
AId,0118 L6 CT CTX Glut_5,Adcyap1r1,5660,1.4559972286224365,26.060070671378092,12.0,12.0,24.0,11.0,-6.1706225872039795,17.0,supertype,Allen_WMB_10X_computed
AId,0125 L5 NP CTX Glut_4,Adcyap1r1,146,1.3421554565429688,21.232876712328768,9.0,9.0,18.0,9.0,-6.284464359283447,17.0,supertype,Allen_WMB_10X_computed
AId,1192 SMC NN_1,Adcyap1r1,333,0.654080867767334,8.408408408408409,5.0,5.0,10.0,5.0,-6.972538948059082,12.0,supertype,Allen_WMB_10X_computed
AId,1183 MFOL NN_3,Adcyap1r1,134,0.4271160364151001,7.462686567164178,6.0,6.0,12.0,6.0,-7.199503779411316,13.0,supertype,Allen_WMB_10X_computed
AId,0091 L5 ET CTX Glut_2,Adcyap1r1,355,0.4050692617893219,8.169014084507042,13.0,12.0,25.0,12.0,-7.221550554037094,20.0,supertype,Allen_WMB_10X_computed
AId,0114 L6 CT CTX Glut_1,Adcyap1r1,4563,0.40400710701942444,7.166337935568705,14.0,13.0,27.0,12.0,-7.222612708806992,18.0,supertype,Allen_WMB_10X_computed
AId,0135 HPF CR Glut_1,Adcyap1r1,49,0.3901350796222687,6.122448979591836,10.0,8.0,18.0,10.0,-7.236484736204147,15.0,supertype,Allen_WMB_10X_computed
AId,0115 L6 CT CTX Glut_2,Adcyap1r1,2789,0.3522036075592041,5.916098960200788,15.0,15.0,30.0,14.0,-7.274416208267212,18.0,supertype,Allen_WMB_10X_computed
AId,1182 NFOL NN_2,Adcyap1r1,91,0.31095030903816223,5.4945054945054945,7.0,6.0,13.0,7.0,-7.315669506788254,13.0,supertype,Allen_WMB_10X_computed
AId,1193 Endo NN_1,Adcyap1r1,2903,0.285923033952713,3.8580778504994835,6.0,6.0,12.0,6.0,-7.340696781873703,13.0,supertype,Allen_WMB_10X_computed
AId,1187 VLMC NN_1,Adcyap1r1,163,0.2732309401035309,3.6809815950920246,9.0,9.0,18.0,9.0,-7.353388875722885,13.0,supertype,Allen_WMB_10X_computed
AId,1194 Microglia NN_1,Adcyap1r1,4610,0.26697373390197754,3.492407809110629,8.0,8.0,16.0,8.0,-7.3596460819244385,13.0,supertype,Allen_WMB_10X_computed
AId,1184 MOL NN_4,Adcyap1r1,1875,0.2588788866996765,3.6799999999999997,7.0,7.0,14.0,7.0,-7.3677409291267395,13.0,supertype,Allen_WMB_10X_computed
AId,0090 L5 ET CTX Glut_1,Adcyap1r1,254,0.21774418652057648,4.724409448818897,14.0,12.0,26.0,14.0,-7.4088756293058395,19.0,supertype,Allen_WMB_10X_computed
AId,0094 L5 ET CTX Glut_5,Adcyap1r1,524,0.2148163765668869,4.580152671755725,13.0,12.0,25.0,12.0,-7.411803439259529,19.0,supertype,Allen_WMB_10X_computed
AId,1188 VLMC NN_2,Adcyap1r1,128,0.1983904242515564,2.34375,10.0,9.0,19.0,10.0,-7.42822939157486,13.0,supertype,Allen_WMB_10X_computed
AId,1186 ABC NN_1,Adcyap1r1,38,0.17140373587608337,2.631578947368421,8.0,6.0,14.0,8.0,-7.455216079950333,13.0,supertype,Allen_WMB_10X_computed
AId,1195 BAM NN_1,Adcyap1r1,364,0.15554708242416382,2.197802197802198,10.0,9.0,19.0,10.0,-7.471072733402252,13.0,supertype,Allen_WMB_10X_computed
AId,1191 Peri NN_1,Adora2a,673,4.186823844909668,49.18276374442793,1.0,1.0,2.0,1.0,1.2290019989013672,1.0,supertype,Allen_WMB_10X_computed
AId,1188 VLMC NN_2,Adora2a,128,2.957821846008301,37.5,1.0,1.0,2.0,1.0,-1.2290019989013672,2.0,supertype,Allen_WMB_10X_computed
AId,0119 L6 CT CTX Glut_6,Adora2a,44,2.1110503673553467,34.090909090909086,11.0,9.0,20.0,11.0,-2.0757734775543213,6.0,supertype,Allen_WMB_10X_computed
AId,1192 SMC NN_1,Adora2a,333,1.5666834115982056,19.81981981981982,3.0,3.0,6.0,3.0,-2.6201404333114624,4.0,supertype,Allen_WMB_10X_computed
AId,0185 Sncg Gaba_1,Adora2a,171,1.491176724433899,28.654970760233915,11.0,9.0,20.0,9.0,-2.695647120475769,8.0,supertype,Allen_WMB_10X_computed
AId,0113 L6b CTX Glut_4,Adora2a,74,1.269837498664856,21.62162162162162,11.0,9.0,20.0,11.0,-2.916986346244812,11.0,supertype,Allen_WMB_10X_computed
AId,1187 VLMC NN_1,Adora2a,163,0.6352783441543579,8.588957055214724,6.0,6.0,12.0,6.0,-3.55154550075531,4.0,supertype,Allen_WMB_10X_computed
AId,0104 L6b EPd Glut_2,Adora2a,40,0.5176531076431274,10.0,15.0,12.0,27.0,14.0,-3.6691707372665405,10.0,supertype,Allen_WMB_10X_computed
AId,1161 Astro-TE NN_1,Adora2a,178,0.39557909965515137,5.617977528089887,5.0,4.0,9.0,5.0,-3.7912447452545166,6.0,supertype,Allen_WMB_10X_computed
AId,0111 L6b CTX Glut_2,Adora2a,73,0.34102195501327515,6.8493150684931505,17.0,13.0,30.0,15.0,-3.845801889896393,16.0,supertype,Allen_WMB_10X_computed
AId,0135 HPF CR Glut_1,Adora2a,49,0.3152047097682953,4.081632653061225,11.0,9.0,20.0,11.0,-3.8716191351413727,5.0,supertype,Allen_WMB_10X_computed
AId,0105 L6b EPd Glut_3,Adora2a,48,0.23686499893665314,4.166666666666666,17.0,13.0,30.0,15.0,-3.949958845973015,13.0,supertype,Allen_WMB_10X_computed
AId,1163 Astro-TE NN_3,Adora2a,8356,0.2313380092382431,3.314983245572044,9.0,9.0,18.0,9.0,-3.955485835671425,7.0,supertype,Allen_WMB_10X_computed
AId,0205 Pvalb Gaba_1,Adora2a,161,0.1900787055492401,3.1055900621118013,14.0,13.0,27.0,14.0,-3.996745139360428,13.0,supertype,Allen_WMB_10X_computed
AId,1193 Endo NN_1,Adora2a,2903,0.16969843208789825,2.3768515328970032,9.0,9.0,18.0,9.0,-4.01712541282177,4.0,supertype,Allen_WMB_10X_computed
AId,0110 L6b CTX Glut_1,Adora2a,178,0.1478937864303589,2.8089887640449436,18.0,16.0,34.0,18.0,-4.038930058479309,11.0,supertype,Allen_WMB_10X_computed
AId,0002 CLA-EPd-CTX Car3 Glut_2,Adora2a,140,0.12394767254590988,2.142857142857143,18.0,17.0,35.0,16.0,-4.062876172363758,16.0,supertype,Allen_WMB_10X_computed
AId,1182 NFOL NN_2,Adora2a,91,0.11548073589801788,2.197802197802198,14.0,9.0,23.0,14.0,-4.07134310901165,4.0,supertype,Allen_WMB_10X_computed
AId,0188 Sncg Gaba_4,Adora2a,157,0.10488340258598328,2.547770700636943,18.0,17.0,35.0,16.0,-4.081940442323685,10.0,supertype,Allen_WMB_10X_computed
AId,0112 L6b CTX Glut_3,Adora2a,114,0.10416398197412491,1.7543859649122806,19.0,18.0,37.0,18.0,-4.082659862935543,11.0,supertype,Allen_WMB_10X_computed
AId,1195 BAM NN_1,Adora2a,364,0.1000179871916771,1.3736263736263736,14.0,11.0,25.0,14.0,-4.086805857717991,4.0,supertype,Allen_WMB_10X_computed
AId,0041 L2/3 IT PIR-ENTl Glut_3,Adora2a,207,0.08222989737987518,1.4492753623188406,19.0,18.0,37.0,19.0,-4.104593947529793,10.0,supertype,Allen_WMB_10X_computed
AId,1183 MFOL NN_3,Adora2a,134,0.07516849786043167,1.4925373134328357,15.0,11.0,26.0,15.0,-4.111655347049236,5.0,supertype,Allen_WMB_10X_computed
AId,0118 L6 CT CTX Glut_5,Adora2a,5660,0.06565096974372864,1.254416961130742,18.0,18.0,36.0,17.0,-4.121172875165939,13.0,supertype,Allen_WMB_10X_computed
AId,0190 Sncg Gaba_6,Adora2a,167,0.05912673473358154,1.1976047904191618,19.0,18.0,37.0,18.0,-4.127697110176086,10.0,supertype,Allen_WMB_10X_computed
AId,0187 Sncg Gaba_3,Adora2a,635,0.05571655556559563,1.1023622047244095,19.0,17.0,36.0,17.0,-4.131107289344072,13.0,supertype,Allen_WMB_10X_computed
AId,0008 L5/6 IT TPE-ENT Glut_2,Adora2a,433,0.05479466915130615,1.3856812933025404,20.0,18.0,38.0,19.0,-4.132029175758362,15.0,supertype,Allen_WMB_10X_computed
AId,0017 L6 IT CTX Glut_5,Adora2a,499,0.04942217469215393,1.002004008016032,19.0,17.0,36.0,19.0,-4.137401670217514,13.0,supertype,Allen_WMB_10X_computed
AId,0025 L4/5 IT CTX Glut_3,Adora2a,1804,0.04225511476397514,0.8869179600886918,18.0,18.0,36.0,16.0,-4.144568730145693,12.0,supertype,Allen_WMB_10X_computed
AId,0039 L2/3 IT PIR-ENTl Glut_1,Adora2a,135,0.042192306369543076,0.7407407407407408,20.0,19.0,39.0,20.0,-4.144631538540125,14.0,supertype,Allen_WMB_10X_computed
AId,0191 Sncg Gaba_7,Adora2a,111,0.042134784162044525,0.9009009009009009,21.0,16.0,37.0,19.0,-4.144689060747623,11.0,supertype,Allen_WMB_10X_computed
AId,0022 L5 IT CTX Glut_5,Adora2a,302,0.04190722852945328,0.9933774834437087,21.0,18.0,39.0,18.0,-4.144916616380215,15.0,supertype,Allen_WMB_10X_computed
AId,0018 L5 IT CTX Glut_1,Adora2a,467,0.038676995784044266,0.8565310492505354,19.0,17.0,36.0,17.0,-4.148146849125624,12.0,supertype,Allen_WMB_10X_computed
AId,0016 L6 IT CTX Glut_4,Adora2a,246,0.03863530978560448,0.8130081300813009,21.0,19.0,40.0,20.0,-4.1481885351240635,13.0,supertype,Allen_WMB_10X_computed
AId,0013 L6 IT CTX Glut_1,Adora2a,832,0.03798454627394676,0.7211538461538461,20.0,19.0,39.0,19.0,-4.148839298635721,16.0,supertype,Allen_WMB_10X_computed
AId,0009 L5/6 IT TPE-ENT Glut_3,Adora2a,583,0.035424839705228806,0.6861063464837049,20.0,19.0,39.0,17.0,-4.151399005204439,16.0,supertype,Allen_WMB_10X_computed
AId,0241 Sst Chodl Gaba_4,Adora2a,300,0.03330526873469353,0.6666666666666667,21.0,21.0,42.0,19.0,-4.153518576174974,11.0,supertype,Allen_WMB_10X_computed
AId,0014 L6 IT CTX Glut_2,Adora2a,925,0.03314714878797531,0.6486486486486486,20.0,20.0,40.0,17.0,-4.153676696121693,16.0,supertype,Allen_WMB_10X_computed
AId,0042 L2/3 IT PIR-ENTl Glut_4,Adora2a,183,0.03253159672021866,0.546448087431694,19.0,16.0,35.0,17.0,-4.154292248189449,10.0,supertype,Allen_WMB_10X_computed
